,year,id,Team,RPI,SOS
223,2015,1132,Bowling Green,0.5388,0.4889
224,2015,1358,Sam Houston State,0.5371,0.4635
225,2015,1318,Northeastern,0.5359,0.4857
226,2015,1435,Vanderbilt,0.5348,0.5342
227,2015,1443,Western Kentucky,0.5332,0.5068
228,2015,1160,Colorado,0.5308,0.5581
229,2015,1414,UC Irvine,0.5305,0.5026
230,2015,1308,New Mexico State,0.5299,0.4767
231,2015,1247,La Salle,0.5288,0.5461
232,2015,1107,Albany,0.5285,0.4498
233,2015,1321,Northwestern,0.5282,0.5607
234,2015,1333,Oregon State,0.5264,0.5277
235,2015,1125,Belmont,0.5234,0.4704
236,2015,1156,Cleveland State,0.5228,0.5093
237,2015,1295,North Dakota State,0.5225,0.4562
238,2015,1210,Georgia Tech,0.5213,0.5759
239,2015,1395,TCU,0.5207,0.5268
240,2015,1304,Nebraska,0.5196,0.5555
241,2015,1429,Utah State,0.5192,0.4956
242,2015,1241,James Madison,0.517,0.5016
243,2015,1423,NC-Wilmington,0.5167,0.4740
244,2015,1411,Texas Southern,0.516,0.4553
245,2015,1360,San Diego,0.515,0.5266
246,2015,1230,Incarnate Word,0.5143,0.4619
247,2015,1170,Sacramento State,0.5126,0.4520
248,2015,1103,Akron,0.5122,0.5020
249,2015,1110,American,0.5116,0.4907
250,2015,1285,Montana,0.5102,0.4730
251,2015,1450,Washington State,0.5099,0.5430
252,2015,1339,Portland,0.5082,0.5162
253,2015,1313,Norfolk State,0.5077,0.4654
254,2015,1331,Oral Roberts,0.5073,0.4840
255,2015,1353,Rutgers,0.506,0.5742
256,2015,1312,New Jersey Tech,0.5055,0.4690
257,2015,1149,Charleston Southern,0.5053,0.4655
258,2015,1322,Northwestern State,0.503,0.4724
259,2015,1316,North Florida,0.5025,0.4368
260,2015,1307,New Mexico,0.502,0.5191
261,2015,1183,Eastern Illinois,0.5013,0.4870
262,2015,1250,Lehigh,0.4994,0.4869
263,2015,1403,Texas Tech,0.4993,0.5560
264,2015,1159,Colgate,0.4968,0.4884
265,2015,1319,Northern Arizona,0.4964,0.4662
266,2015,1232,Indiana State,0.4957,0.5104
267,2015,1296,Northern Illinois,0.4948,0.5064
268,2015,1142,Cal Poly,0.4939,0.4982
269,2015,1291,Mount St. Mary's,0.4936,0.4801
270,2015,1162,Columbia,0.4923,0.5127
271,2015,1271,Maryland-Eastern Shore,0.4921,0.4422
272,2015,1352,Robert Morris,0.4916,0.4717
273,2015,1306,New Hampshire,0.4895,0.4402
274,2015,1281,Missouri,0.487,0.5773
275,2015,1365,Santa Clara,0.4865,0.5190
276,2015,1131,Boston University,0.4859,0.5075
277,2015,1171,Dartmouth,0.4855,0.4798
278,2015,1280,Mississippi State,0.4853,0.5256
279,2015,1178,Detroit,0.4841,0.5065
280,2015,1454,Wisconsin-Milwaukee,0.4833,0.4988
281,2015,1236,IPFW,0.4816,0.4710
282,2015,1425,Southern California,0.4813,0.5345
283,2015,1394,Texas A&amp;M-Corpus; Christi,0.4803,0.4414
284,2015,1377,South Dakota,0.4768,0.4651
285,2015,1165,Cornell,0.4735,0.4823
286,2015,1187,East Carolina,0.4724,0.5143
287,2015,1182,Duquesne,0.4711,0.5228
288,2015,1346,Quinnipiac,0.4684,0.4694
289,2015,1198,Florida International,0.4682,0.4635
290,2015,1340,Portland State,0.4665,0.4511
291,2015,1119,Army,0.4649,0.4557
292,2015,1441,Western Carolina,0.4637,0.4643
293,2015,1334,Pacific,0.4626,0.5093
294,2015,1357,Sacred Heart,0.4621,0.4612
295,2015,1200,Fordham,0.4604,0.5346
296,2015,1389,St. Peter's,0.4604,0.4551
297,2015,1402,Texas State-San Marcos,0.4596,0.4833
298,2015,1135,Brown,0.4583,0.4893
299,2015,1224,Howard,0.4576,0.4279
300,2015,1298,Navy,0.4568,0.4848
301,2015,1102,Air Force,0.4558,0.4863
302,2015,1380,Southern,0.4557,0.4443
303,2015,1237,IUPUI,0.4548,0.4909
304,2015,1258,Loyola Marymount,0.4538,0.5299
305,2015,1387,Saint Louis,0.453,0.5148
306,2015,1460,Wright State,0.4525,0.4886
307,2015,1262,UMass Lowell,0.4517,0.4537
308,2015,1111,Appalachian State,0.4512,0.4627
309,2015,1179,Drake,0.4509,0.5266
310,2015,1373,Siena,0.4495,0.4835
311,2015,1259,Loyola-Maryland,0.4485,0.4738
312,2015,1356,Southern Illinois,0.4437,0.4807
313,2015,1270,McNeese State,0.4424,0.4669
314,2015,1213,Grand Canyon,0.439,0.4361
315,2015,1440,VMI,0.4382,0.4690
316,2015,1133,Bradley,0.4374,0.5132
317,2015,1406,Towson,0.4367,0.4559
318,2015,1169,Northridge,0.4345,0.5123
319,2015,1214,Hampton,0.4336,0.4287
320,2015,1379,Southern Miss,0.433,0.5063
321,2015,1464,Youngstown State,0.4322,0.4793
322,2015,1158,College of Charleston,0.4299,0.4864
323,2015,1370,Seattle,0.4291,0.4332
324,2015,1223,Houston Baptist,0.4268,0.4628
